texts,words,score
这个案子宣判了，可以轮到钟某仙和陕西铁笼女了吗 ,"['案子', '宣判', '轮到', '钟', '某仙', '陕西', '铁笼', '女', ' ']",0
早安  周一  ,"['早安', ' ', ' ', '周一', ' ', ' ']",0
月轮皎好，坏人伏法。感谢司法还赐给了她艺名，香菱是被拐好拐高了，然而现实比故事更残酷，社会得多造以奸生子为主的福利院，谁孩子不要了就往那里一扔，但不能造在江西上饶。时代在进步，社会在发展，诸犯罪模式呈产业链化。关键是该案起承上启下效应，凡事豫则立不豫则废。狐狗儿女，丰饶之乡。,"['月', '轮', '皎', '坏人', '伏法', '司法', '赐给', '艺名', '香菱', '拐', '拐', '高', '现实', '故事', '更', '残酷', '社会', '得多造', '奸生子', '为主', '福利院', '孩子', '不要', '扔', '不能', '造', '江西', '上饶', '时代', '进步', '社会', '发展', '犯罪', '模式', '呈', '产业链', '化', '关键', '该案', '承上启下', '效应', '凡事', '豫则立', '不豫则', '废', '狐狗', '儿女', '丰饶', '乡']",-5.0
把世界还给恐龙、就现在 ,"['世界', '还给', '恐龙', '现在', ' ']",0
因为这个案子彻底不敢自由行了。真的被拐，叫天天不应、叫地地不灵，疯癫是唯一的归路。 ,"['案子', '彻底', '不敢', '自由', '行', '真的', '拐', '天天', '应', '不灵', '疯癫', '唯一', '归路', ' ']",0
丰县的事儿终于尘埃落定了，虽然，判决结果没有达到大多数人的预期。。。感谢网络吧。  ,"['丰县', '事儿', '终于', '尘埃落定', '判决', '没有', '达到', '大多数', '预期', '网络', ' ', ' ']",0
 今天，江苏省徐州市中级人民法院一审公开宣判被告人董志民虐待、非法拘禁案，被告人时立忠、桑合妞拐卖妇女案和被告人谭爱庆、霍永渠、霍福得拐卖妇女案。法院判决被告人董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年。判决被告人时立忠、桑合妞、谭爱庆、霍永渠、霍福得犯拐卖妇女罪，分别判处有期徒刑十一年、十年、十三年、八年六个月和八年，并处罚金。（总台记者张斌 程琴）,"[' ', '今天', '江苏省', '徐州市', '中级', '人民法院', '一审', '公开', '宣判', '被告人', '董', '志民', '虐待', '非法拘禁', '案', '被告人', '时立忠', '桑合', '妞', '拐卖妇女', '案', '被告人', '谭爱庆', '霍永渠', '霍福得', '拐卖妇女', '案', '法院', '判决', '被告人', '董', '志民', '犯', '虐待', '罪', '判处', '有期徒刑', '六年', '六个月', '犯', '非法拘禁', '罪', '判处', '有期徒刑', '三年', '数罪并罚', '决定', '执行', '有期徒刑', '九年', '判决', '被告人', '时立忠', '桑合', '妞', '谭爱庆', '霍永渠', '霍福得', '犯', '拐卖妇女', '罪', '判处', '有期徒刑', '十一年', '十年', '十三年', '八年', '六个月', '八年', '处罚金', '总台', '记者', '张斌', ' ', '程琴']",-14.0
原来时常瞄到相关热搜并未关注过哪怕一丁点，刚刚无意中详细了解了事情的全部经过，当然，结局至今存疑，但截止目前也算是尘埃落定，我只能说，震碎了我的三观，我那已经很碎的三观又被震碎了一些，并不是因为拐卖，而是…………。 ,"['原来', '时常', '瞄到', '相关', '热', '搜', '并未', '关注', '一丁点', '刚刚', '无意', '中', '详细', '了解', '事情', '结局', '存疑', '截止', '目前', '也', '算是', '尘埃落定', '只能', '说', '震碎', '三观', '已经', '很碎', '三观', '震碎', '拐卖', ' ']",0.0
好心痛啊 ,"['心痛', ' ']",0.0
都特么被铁链子拴起来下了8个了还不是违背妇女意愿吗 ,"['特', '铁链', '子', '拴', '起来', '8', '违背', '妇女', '意愿', ' ']",7.0
为什么没有天理公道 ,"['为什么', '没有', '天理', '公道', ' ']",9.0
心痛 ,"['心痛', ' ']",0.0
⭕️2023年4月7日，江苏省徐州市中级人民法院一审公开宣判被告人董志民等人虐待、非法拘禁、拐卖妇女案。董志民获刑九年〈属于顶格处理〉，其余涉案人员获刑八到十一年不等。至此这个荒唐的事件进入新阶段。董志民就是著名的小花梅的丈夫，小花梅也被有人故意称为八孩女、铁链女，以此掀起一轮又一轮的污风浊浪。这件事本身其实很简单：历史的产物、现实的无奈，小题的大作、荒唐的结果。如果你能联想到爆发时间和北京冬奥会很接近的话就会明白很多——西方某些国家在冬奥会捣乱，然而我们办得很好，炒作个热点报复一下很正常。中国地区差异大，落后地区的女子嫁到富裕地区赖以谋生是常有的事，通常男女双方条件都不行、不得已才有这样的结合，其实就是搭伙过日子罢了；介绍人会拿点好处，但这和一般的拐卖是两回事；当地干部对此只能是睁一只眼闭一只眼，毕竟这样的结合减少了当地的不安定因素。考虑一下各方的实际处境，你有什么好办法？那些义愤填膺的人会不会把小花梅接到自己家里养起来？小花梅是来自云南落后地区的间歇性精神病，初婚被退、投靠无门，不得已经人牵线嫁到江苏徐州丰县，已经是很好的结果了、否则早就在贫病交加中离开人世了，能生八个正常的小孩、都是老公的，说明她营养状况、人格尊严、居住环境有保障的。然而仅仅因为发病时不好控制、家人偶尔用铁链锁她、儿子拍了视频博流量，被外部势力揪住炒作、内部体制被动挨打，造成了丈夫进监狱、自己进医院〈结果相当于软禁〉、孩子们作为罪犯家属后续发展受限。简而言之，一个家庭就这么妻离子散地毁了，看客们则抹抹嘴巴、继续骂骂咧咧，带着内心虚荣的满足扑向下一个热点。好在九年后老公出狱、夫妻团聚，孩子们那是也自立了，她的晚景要好于绝大部分人。这是在这件事中唯一让我满意的。还想不清楚的去云南的大山实地看看，别拿你追韩剧看综艺的智商来解释这个世界！,"['⭕', '️', '2023', '年', '4', '月', '7', '日', '江苏省', '徐州市', '中级', '人民法院', '一审', '公开', '宣判', '被告人', '董', '志民', '虐待', '非法拘禁', '拐卖妇女', '案', '董', '志民', '获刑', '九年', '属于', '顶格', '处理', '涉案人员', '获刑', '八到', '十一年', '至此', '荒唐', '事件', '进入', '新', '阶段', '董', '志民', '著名', '小花', '梅', '丈夫', '小花', '梅', '也', '有人', '故意', '称为', '八孩女', '铁链', '女', '以此', '掀起', '一轮', '一轮', '污风', '浊浪', '这件', '事', '其实', '简单', '历史', '产物', '现实', '无奈', '小题', '大作', '荒唐', '联想', '爆发', '时间', '北京', '冬奥会', '接近', '会', '明白', '很多', '西方', '国家', '冬奥会', '捣乱', '办得', '炒作', '热点', '报复', '一下', '正常', '中国', '地区', '差异', '落后地区', '女子', '嫁', '富裕', '地区', '谋生', '常有', '事', '通常', '男女双方', '条件', '不行', '不得已', '结合', '其实', '搭伙', '过日子', '介绍', '人会', '拿点', '好处', '拐卖', '两回事', '干部', '对此', '只能', '睁一只眼', '闭一只眼', '毕竟', '结合', '减少', '安定', '因素', '考虑一下', '各方', '实际', '处境', '什么', '办法', '义愤填膺', '人会', '不会', '小花', '梅', '接到', '家里', '养起来', '小花', '梅是', '云南', '落后地区', '间歇性', '精神病', '初婚', '退', '投靠', '无门', '已经', '牵线', '嫁', '江苏', '徐州', '丰县', '已经', '早就', '贫病交加', '中', '离开', '人世', '能生', '八个', '正常', '小孩', '老公', '说明', '营养状况', '人格尊严', '居住', '环境', '保障', '仅仅', '发病', '时', '不好', '控制', '家人', '偶尔', '铁链', '锁', '儿子', '拍', '视频', '博', '流量', '外部', '势力', '揪住', '炒作', '内部', '体制', '被动挨打', '造成', '丈夫', '进', '监狱', '进', '医院', '相当于', '软禁', '孩子', '罪犯', '家属', '后续', '发展', '受限', '简而言之', '一个', '家庭', '妻离子散', '地毁', '看客', '抹抹', '嘴巴', '继续', '骂骂咧咧', '带', '内心', '虚荣', '满足', '扑', '向下', '一个', '热点', '九年', '老公', '出狱', '夫妻', '团聚', '孩子', '也', '自立', '晚景', '绝大部分', '这件', '事中', '唯一', '满意', '想', '清楚', '云南', '大山', '实地', '看看', '追', '韩剧', '综艺', '智商', '解释', '世界']",-58.0
想说的有很多，但这里是一个不允许人说话的地方 ,"['想', '说', '很多', '一个', '允许', '说话', '地方', ' ']",0
这样得婚姻居然是合法得不要脸，太不要脸，她是被拐被迫得啊，她大好得人生因为拐卖已经算是完了，一生完蛋了，哇什么疯魔得事情啊 ,"['婚姻', '居然', '合法', '不要脸', '太', '不要脸', '拐', '被迫', '大好', '人生', '拐卖', '已经', '算是', '完', '一生', '完蛋', '什么', '疯魔', '事情', ' ']",-24.0
我只知道当我在喝奶茶看电影的时候她在阴暗的牛圈里用铁链拴着被又老又丑的出生强jian，还生下八个小出生，很绝望，我是幸运的她，她是不幸的我 ,"['知道', '喝', '奶茶', '电影', '阴暗', '牛', '圈里', '铁链', '拴着', '老', '丑', '出生', '强', 'jian', '生下', '八个', '出生', '绝望', '幸运', '不幸', ' ']",0.0
6 ,"['6', ' ']",0
一个女人的一生毁了！而那帮罪人才判了10年左右！ ,"['一个', '女人', '一生', '毁', '帮罪', '人才', '判', '10', '年', '左右', ' ']",7.0
那不是丈夫，不是父亲，是罪犯 ,"['丈夫', '父亲', '罪犯', ' ']",0
不知道你是否真的是小花梅，所以说不出希望小花梅以后怎么怎么样，只希望你以后平安健康 ,"['知道', '是否', '真的', '小花', '梅', '说不出', '希望', '小花', '梅', '以后', '怎么', '怎么样', '希望', '以后', '平安', '健康', ' ']",3.0
今天就不该打开微博  这世道... ,"['今天', '不该', '打开', '微博', ' ', ' ', '世道', '...', ' ']",0
cr@或许是momooo叻 ,"['cr', '@', '或许', 'momooo', '叻', ' ']",0
完了，热度降了 ,"['完', '热度', '降', ' ']",0
气笑了 ,"['气笑', ' ']",0
判的真轻。。。 ,"['判', '真轻', ' ']",0
还有杀害女婴罪…… ,"['杀害', '女婴', '罪', ' ']",-3.0
这个世界不是非黑即白的，还有很多难以界定的灰色区域。愿正义自在人间 ,"['世界', '非黑', '白', '很多', '难以', '界定', '灰色', '区域', '愿', '正义', '人间', ' ']",5.0
我记得之前是不是说过要关注针对儿童、妇女的案件，还是我记错了 ,"['记得', '之前', '是不是', '说', '关注', '儿童', '妇女', '案件', '记错', ' ']",0
建议： ,"['建议', ' ']",0
我就想问已经成年的大儿子，看着妈妈过着地狱般的日子，他什么想法？这一家子最好全部绝后，毒瘤般的思想从此断代最好 ,"['想', '问', '已经', '成年', '大儿子', '看着', '妈妈', '地狱', '日子', '什么', '想法', '一家子', '最好', '绝后', '毒瘤', '思想', '断代', '最好', ' ']",6.0
【董志民为何不构成收买被拐卖妇女罪？】经查，小花梅早先是谭爱庆夫妇在夏邑县骆集乡经营的饭店内，发现流落的小花梅，后将其收留一个月后卖给在饭店附近工地务工的霍永渠、霍福得，后二人将小花梅带回徐州丰县经人介绍转卖给董某更，也即董志民的父亲。所以本案中，小花梅当时不是在流浪，是董志民父亲花钱购买的，而非自己直接收买。故在该情节上，只有董志民的父亲董某更可能构成收买被拐卖的妇女罪，董志民不构成犯罪。但是董某更在2022年3月的官方通报中没有提及其下落，在一审判决中也未予体现，很可能该人已经去世，故法院不能对其进行审判、定罪及量刑。 【董志民为何不构成故意伤害罪？ 】依据前期江苏省的调查结果显示：小花梅的牙齿脱落属于牙周病导致。且官方通报中也没有显示董志民对小花梅有其他故意伤害行为，所以董志民不构成故意伤害罪。与此同时，如果牙齿被拔掉后没有做专业处理，必然导致伤口发炎和严重并发症，时间久远，现有的证据很难判断牙齿是否为外力所拔掉，故董志民不构成故意伤害罪。【董志民为何不构成强奸罪？】依据前期江苏省的调查结果显示：董志民与小花梅2000年6月进行了合法的婚姻登记，而且进行婚姻登记时小花梅只是“有时存在痴笑，目光呆滞”的情况，并且后来还能接送长子上下学，因此现有证据无法证明其在登记结婚时确定患有精神疾病。并且在我国司法实践中，一般认为婚内发生性关系是不构成强奸的。很多网民所称的“强奸”也多为一种事后的推论，并无切实可靠的证据能够证明。故董志民不构成强奸罪。【董志民构成虐待罪】经查，董志民不顾小花梅身体状况致其连续怀孕生育。2017年7月至案发前其间，小花梅的饮食起居得不到正常保障，时常挨饿受冻，居住场所无水、电、阳光，生活环境恶劣，导致小花梅精神疾病不断加重，人身健康遭受重大伤害。经鉴定，小花梅患有精神分裂症（衰退期），被评定为精神残疾二级。董志民对被害人小花梅有病不送医治疗，让其长期生活在恶劣环境中，且不顾其身体状况致其连续生育，导致小花梅精神疾病不断加重，人身健康遭受重大伤害的行为已经达到了虐待罪的定罪标准。且其导致小花梅患精神分裂症且不可逆转，具有致被害人重伤的加重处罚情节，故法院就虐待的行为做出了六年六个月的量刑，基本是顶格处理。【董志民构成非法拘禁罪】经查，2017年7月至案发前，董志民为防止小花梅发病时殴打老人小孩，对小花梅实施了布条绳索捆绑、铁链锁脖等拘禁行为。该行为系非法剥夺、限制小花梅人身自由的犯罪行为，而非对精神疾病患病时的家属合理约束行为，所以董某构成非法拘禁罪。与此同时，董志民虐待、非法拘禁犯罪持续时间长，犯罪手段恶劣，造成严重危害后果和恶劣社会影响，法院认为应依法严惩。综合考虑其犯罪事实和情节，法院就非法拘禁的行为做出了三年的量刑，也是顶格处理。【结语】人民法院在审理案件时，会综合案件事实做出最公正的判决。网络上会有一些声音表示董志民数罪并罚合计九年的有期徒刑“太短了”。但请各位注意，小花梅的命运是众多犯罪者共同造成的后果。而非董志民一人为之。依据现有的证据，董志民在本案中只涉及到了虐待和非法拘禁两项罪名，判处九年已经是司法实践当中比较重的刑罚了，因为他本人并非直接收买了小华梅。法院已经对其他涉嫌拐卖行为的犯罪嫌疑人做出了少则八年，多至十三年的公正判决。愿小花梅今后的生活中，可以有更多的阳光照射进来。,"['董', '志民', '为何', '构成', '收买', '拐卖妇女', '罪', '经查', '小花', '梅', '早先', '谭爱庆', '夫妇', '夏邑县', '骆集', '乡', '经营', '饭店', '发现', '流落', '小花', '梅', '收留', '一个月', '卖', '饭店', '附近', '工地', '务工', '霍永渠', '霍福得', '二人', '小花', '梅', '带回', '徐州', '丰县', '经人介绍', '转卖', '董某', '更', '也', '董', '志民', '父亲', '本案', '中', '小花', '梅', '当时', '流浪', '董', '志民', '父亲', '花钱', '购买', '非', '直接', '收买', '情节', '董', '志民', '父亲', '董某', '更', '可能', '构成', '收买', '拐卖', '妇女', '罪', '董', '志民', '构成犯罪', '董某', '更', '2022', '年', '3', '月', '官方', '通报', '中', '没有', '提', '下落', '一审判决', '中', '也', '未予', '体现', '可能', '已经', '去世', '法院', '不能', '进行', '审判', '定罪', '量刑', ' ', '董', '志民', '为何', '构成', '故意伤害罪', ' ', '前期', '江苏省', '调查', '结果显示', '小花', '梅', '牙齿', '脱落', '属于', '牙周病', '导致', '官方', '通报', '中', '也', '没有', '显示', '董', '志民', '小花', '梅有', '故意伤害', '行为', '董', '志民', '构成', '故意伤害罪', '牙齿', '拔掉', '没有', '做', '专业', '处理', '必然', '导致', '伤口发炎', '严重', '并发症', '时间', '久远', '现有', '证据', '很难', '判断', '牙齿', '是否', '外力', '拔掉', '故董', '志民', '构成', '故意伤害罪', '董', '志民', '为何', '构成', '强奸罪', '前期', '江苏省', '调查', '结果显示', '董', '志民', '小花', '梅', '2000', '年', '6', '月', '进行', '合法', '婚姻登记', '进行', '婚姻登记', '时', '小花', '梅', '存在', '痴笑', '目光', '呆滞', '情况', '后来', '接送', '长子', '上下学', '现有', '证据', '无法', '证明', '登记', '结婚', '时', '确定', '患有', '精神疾病', '我国', '司法', '实践', '中', '认为', '婚内', '发生', '性关系', '构成', '强奸', '很多', '网民', '所称', '强奸', '也', '一种', '事后', '推论', '切实', '可靠', '证据', '能够', '证明', '故董', '志民', '构成', '强奸罪', '董', '志民', '构成', '虐待', '罪', '经查', '董', '志民', '不顾', '小花', '梅', '身体状况', '致其', '连续', '怀孕', '生育', '2017', '年', '7', '月', '案发前', '其间', '小花', '梅', '饮食起居', '得不到', '正常', '保障', '时常', '挨饿受冻', '居住', '场所', '无水', '电', '阳光', '生活', '环境恶劣', '导致', '小花', '梅', '精神疾病', '不断', '加重', '人身', '健康', '遭受', '重大', '伤害', '鉴定', '小花', '梅', '患有', '精神分裂症', '衰退期', '被评', '定为', '精神', '残疾', '二级', '董', '志民', '被害人', '小花', '梅有', '病', '送医', '治疗', '长期', '生活', '恶劣', '环境', '中', '不顾', '身体状况', '致其', '连续', '生育', '导致', '小花', '梅', '精神疾病', '不断', '加重', '人身', '健康', '遭受', '重大', '伤害', '行为', '已经', '达到', '虐待', '罪', '定罪', '标准', '导致', '小花', '梅患', '精神分裂症', '不可逆转', '具有', '被害人', '重伤', '加重', '处罚', '情节', '法院', '虐待', '行为', '做出', '六年', '六个月', '量刑', '基本', '顶格', '处理', '董', '志民', '构成', '非法拘禁', '罪', '经查', '2017', '年', '7', '月', '案发前', '董', '志民', '防止', '小花', '梅', '发病', '时', '殴打', '老人', '小孩', '小花', '梅', '实施', '布条', '绳索', '捆绑', '铁链', '锁', '脖', '拘禁', '行为', '行为', '系', '非法', '剥夺', '限制', '小花', '梅', '人身自由', '犯罪行为', '非', '精神疾病', '患病', '时', '家属', '合理', '约束', '行为', '董某', '构成', '非法拘禁', '罪', '董', '志民', '虐待', '非法拘禁', '犯罪', '持续时间', '长', '犯罪', '手段恶劣', '造成', '严重危害', '后果', '恶劣', '社会', '影响', '法院', '认为', '应', '依法严惩', '综合', '考虑', '犯罪事实', '情节', '法院', '非法拘禁', '行为', '做出', '三年', '量刑', '也', '顶格', '处理', '结语', '人民法院', '审理案件', '时', '会', '综合', '案件', '事实', '做出', '公正', '判决', '网络', '上会', '声音', '表示', '董', '志民', '数罪并罚', '合计', '九年', '有期徒刑', '太短', '请', '注意', '小花', '梅', '命运', '众多', '犯罪者', '共同', '造成', '后果', '非', '董', '志民', '人为', '现有', '证据', '董', '志民', '本案', '中', '涉及', '虐待', '非法拘禁', '两项', '罪名', '判处', '九年', '已经', '司法', '实践', '当中', '比较', '重', '刑罚', '直接', '收买', '小华梅', '法院', '已经', '涉嫌', '拐卖', '行为', '犯罪', '嫌疑人', '做出', '少', '八年', '多至', '十三年', '公正', '判决', '愿', '小花', '梅', '今后', '生活', '中', '更', '阳光', '照射', '进来']",-81.0
被毁的是她的一生，要用什么来偿还？能做得这么明目张胆，当地还有多少个这样的“她”？数罪并罚被判甚至不过十年，可被拐卖的妇女搭上了自己的一生。有些人，生而不为人。 ,"['毁', '一生', '什么', '偿还', '做', '明目张胆', '数罪并罚', '被判', '十年', '拐卖', '妇女', '搭上', '一生', '生而', ' ']",-10.0
4月6日，江苏省徐州市中级人民法院一审公开开庭审理被告人董志民虐待、非法拘禁案，被告人时立忠、桑合妞拐卖妇女案和被告人谭爱庆、霍永渠、霍福得拐卖妇女案（以上5人拐卖妇女犯罪经最高人民检察院核准予以追诉），4月7日作出判决，认定董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年；认定被告人时立忠、桑合妞、谭爱庆、霍永渠、霍福得犯拐卖妇女罪，分别判处有期徒刑十一年、十年、十三年、八年六个月和八年，并处罚金。庭审中，被告人董志民、时立忠、桑合妞、霍永渠、霍福得表示认罪、悔罪。 徐州市人民检察院派员出庭支持公诉，各被告人及其辩护人到庭参加诉讼。庭审中，公诉机关出示了相关证据，各被告人及其辩护人进行了质证，控辩双方充分发表了意见，被告人均进行了最后陈述。详见↓ （全媒体记者 张晨）   ,"['4', '月', '6', '日', '江苏省', '徐州市', '中级', '人民法院', '一审', '公开', '开庭审理', '被告人', '董', '志民', '虐待', '非法拘禁', '案', '被告人', '时立忠', '桑合', '妞', '拐卖妇女', '案', '被告人', '谭爱庆', '霍永渠', '霍福得', '拐卖妇女', '案', '5', '拐卖妇女', '犯罪', '最高人民检察院', '核准', '予以', '追诉', '4', '月', '7', '日', '作出', '判决', '认定', '董', '志民', '犯', '虐待', '罪', '判处', '有期徒刑', '六年', '六个月', '犯', '非法拘禁', '罪', '判处', '有期徒刑', '三年', '数罪并罚', '决定', '执行', '有期徒刑', '九年', '认定', '被告人', '时立忠', '桑合', '妞', '谭爱庆', '霍永渠', '霍福得', '犯', '拐卖妇女', '罪', '判处', '有期徒刑', '十一年', '十年', '十三年', '八年', '六个月', '八年', '处罚金', '庭审', '中', '被告人', '董', '志民', '时立忠', '桑合', '妞', '霍永渠', '霍福得', '表示', '认罪', '悔罪', ' ', '徐州市', '人民检察院', '派员', '出庭', '支持', '公诉', '被告人', '辩护人', '到庭', '参加', '诉讼', '庭审', '中', '公诉', '机关', '出示', '相关', '证据', '被告人', '辩护人', '进行', '质证', '控辩', '双方', '充分', '发表', '意见', '被告人', '均', '进行', '最后', '陈述', '详见', '↓', ' ', '全', '媒体', '记者', ' ', '张晨', ' ', ' ', ' ']",-21.0
人多的地方被暴打 人少的地方生八孩 ,"['人多', '地方', '暴打', ' ', '人少', '地方', '生八孩', ' ']",0
我不知道说什么了，唯一声叹息。 ,"['知道', '说', '什么', '唯一', '声', '叹息', ' ']",0.0
…… ,[' '],0
关于丰县八孩事件最初的细节，姥爷查了事件初的报道，看完之后真的是五味杂陈。2021年上半年，某音的“正能量博主”到董村“慰问帮扶”60多岁的8孩奶爸董志民，视频发布后引来不少关注，引得不少“正能量博主”纷纷前往董家“扶助贫困”。在他们的视频里，董志民是乐观豁达的超级奶爸，董也收到不少现金和物资捐赠。2022年1月14日，某音博主发布在董某家拍摄的视频，文案是：“慈祥的父亲表露无遗”，评论也是一片称赞。期间，董志民甚至戴上眼镜给当地的婚庆公司、装修公司搞宣传打广告，所有广告开场白无一例外都是“我是八个孩子的爸爸。”对于当时网络上的一些质疑声，董志民都是视而不见，继续披着羊皮赚钱，后来舆论发酵到立案调查。这件事的可怕之处在于，从2021年初到2022年初，近一年的时间里，董被某音视频作者和当地商家当作正面典型去宣传，甚至找他做广告，大家各取所需，流量名利双收，这一切的背后，却对躲在阴暗角落里生了八个孩子戴着铁链的精神病母亲视而不见。只能说，细思极恐！,"['丰县', '八孩', '事件', '最初', '细节', '姥爷', '查', '事件', '初', '报道', '完', '之后', '真的', '五味杂陈', '2021', '年', '上半年', '某音', '正', '能量', '博主', '董村', '慰问', '帮扶', '60', '多岁', '8', '孩奶', '爸', '董', '志民', '视频', '发布', '引来', '不少', '关注', '引得', '不少', '正', '能量', '博主', '纷纷', '前往', '董家', '扶助', '贫困', '视频', '里', '董', '志民', '乐观', '豁达', '超级', '奶爸', '董', '也', '收到', '不少', '现金', '物资', '捐赠', '2022', '年', '1', '月', '14', '日', '某音', '博主', '发布', '董', '某家', '拍摄', '视频', '文案', '慈祥', '父亲', '表露无遗', '评论', '也', '一片', '称赞', '期间', '董', '志民', '戴上', '眼镜', '婚庆', '公司', '装修', '公司', '搞', '宣传', '打广告', '广告', '开场白', '无一例外', '八个', '孩子', '爸爸', '当时', '网络', '质疑', '声', '董', '志民', '视而不见', '继续', '披', '羊皮', '赚钱', '后来', '舆论', '发酵', '立案', '调查', '这件', '事', '可怕', '处', '2021', '年初', '2022', '年初', '近', '一年', '时间', '里', '董', '音视频', '作者', '商家', '当作', '正面', '典型', '宣传', '找', '做广告', '各取所需', '流量', '名利双收', '背后', '躲', '阴暗', '角落里', '生', '八个', '孩子', '戴着', '铁链', '精神病', '母亲', '视而不见', '只能', '说', '细思极', '恐']",14.0
网络舆论带来迟到的正义，但却抵不过犯罪成本低 ,"['网络', '舆论', '带来', '迟到', '正义', '抵不过', '犯罪', '成本低', ' ']",-3.0
为什么有拐卖妇女事件的发生，总的来说就是：低端男挣钱离不开女人，低端男生育离不开女人，低端男婚配离不开女人，低端男实现所谓的人生理想也离不开女人。  低端的男性在社会上无法寻找到合适的繁育对象，就会找同样无法在其他领域实现财富的低端男性“购买”有价值的女性作为所谓的繁育伴侣。在剥夺了他人作为人的权利的同时也无视了道德和法律的约束。  只能说，这群发烂发臭的男人果然是最能把自己的低端掩饰起来的物种了，企图通过物物交换的形式来掩盖自己的无能（竞争配偶&不靠女性获得财富），但是他们忘记了，他们所交换的“物”，可比他们这堆恶臭垃圾有价值多了。,"['为什么', '拐卖妇女', '事件', '发生', '低端', '男', '挣钱', '离不开', '女人', '低端', '男', '生育', '离不开', '女人', '低端', '男', '婚配', '离不开', '女人', '低端', '男', '实现', '所谓', '人生', '理想', '也', '离不开', '女人', ' ', ' ', '低端', '男性', '社会', '无法', '寻找', '合适', '繁育', '对象', '会', '找', '同样', '无法', '领域', '实现', '财富', '低端', '男性', '购买', '价值', '女性', '所谓', '繁育', '伴侣', '剥夺', '权利', '也', '无视', '道德', '法律', '约束', ' ', ' ', '只能', '说', '群发', '烂', '发臭', '男人', '最能', '低端', '掩饰', '起来', '物种', '企图', '物物', '交换', '形式', '掩盖', '无能', '竞争', '配偶', '&', '不靠', '女性', '获得', '财富', '忘记', '交换', '物', '可比', '这堆', '恶臭', '垃圾', '价值']",-7.0
八个儿子，为什么会有八个儿子呢，可能是因为女儿都被埋了吧，只剩下八个公的向着出生爹 ,"['八个', '儿子', '为什么', '会', '八个', '儿子', '可能', '是因为', '女儿', '埋', '剩下', '八个', '公的', '出生', '爹', ' ']",0
还没她被拘禁的时间久，甚至在牢里这些人不会被强暴，不会衣不蔽体，不会大冷天吃不上东西，出来了还能照常生活 ,"['没', '拘禁', '时间', '久', '牢里', '不会', '强暴', '不会', '衣不蔽体', '不会', '冷天', '吃不上', '东西', '照常', '生活', ' ']",0.0
什么叫“家庭成员”？？明明是强//奸！！就这样还承认所谓“婚姻关系”？只能说所有这片土地上的女性都放弃幻想吧。 ,"['什么', '家庭成员', '明明', '强', '/', '/', '奸', '承认', '所谓', '婚姻关系', '只能', '说', '这片', '土地', '女性', '放弃', '幻想', ' ']",0
没什么好说的了，我理解尊重并支持叶文洁的决定。 ,"['没什么', '说', '理解', '尊重', '支持', '叶文洁', '决定', ' ']",10.0
你们有chatgpt的人能不能问问它，这样的事在其他国家怎么判的。 ,"['chatgpt', '人能', '不能', '问问', '事', '国家', '怎么', '判', ' ']",0
我与拐卖的距离： ,"['拐卖', '距离', ' ']",-5.0
有人说我们不懂法，在鸡蛋里挑骨头。但是我们懂人，如果一个人连人情味都没有了怎么还算一个人呢。 ,"['有人', '说', '懂法', '鸡蛋里挑', '骨头', '懂人', '一个', '人连', '人情味', '没有', '怎么', '算', '一个', ' ']",0
可那是她的一生啊 ,"['一生', ' ']",0
热度这么高也影响不了结果 说好的舆论定罪，定的是…… ,"['热度', '高', '也', '影响', '不了', ' ', '说好', '舆论', '定罪', '定', ' ']",0.0
可以去tui看看 直接崩塌 ,"['tui', '看看', ' ', '直接', '崩塌', ' ']",-5.0
大概知道接下来自己到死要做什么事了 ,"['大概', '知道', '接下来', '死', '做', '什么', '事', ' ']",0
都该斩立决 ,"['斩立决', ' ']",0
想说什么，又不知道还能说什么 ,"['想', '说', '什么', '知道', '说', '什么', ' ']",0
一个女人的一生，就判九年？罪名还是虐/待“家庭成员”，即使对簿公堂也要首肯他的奴/隶主身份   ,"['一个', '女人', '一生', '就判', '九年', '罪名', '虐', '/', '家庭成员', '对簿公堂', '也', '首肯', '奴', '/', '隶主', '身份', ' ', ' ', ' ']",0.0
想说很多，又说不出来…可能这就是社会吧…… ,"['想', '说', '很多', '说不出来', '可能', '社会', ' ']",0
