texts,pm,pp,np
#铁链女# 受害人被关的时间都比出生们关的久 ,负向,0.3473,0.6527
徐州丰县铁链女案今天宣判，主犯董志民未被认定强奸罪或收买被拐卖妇女罪，仅被判九年有期徒刑。今天，江苏省徐州市中级人民法院一审公开宣判被告人董志民虐待、非法拘禁案，被告人时立忠、桑合妞拐卖妇女案和被告人谭爱庆、霍永渠、霍福得拐卖妇女案。法院判决被告人董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年。判决被告人时立忠、桑合妞、谭爱庆、霍永渠、霍福得犯拐卖妇女罪，分别判处有期徒刑十一年、十年、十三年、八年六个月和八年，并处罚金。,负向,0.155,0.845
当初有关部门不是信誓旦旦发通告说去云南那个村子调查过，铁链女不是小花梅吗？ ,负向,0.0016,0.9984
“不是不报，时候未到”，这不是吓唬人的，这确是世间的正义法则。买智障女小花梅做妻，给她戴上铁链并致使她生育八个孩子的董志民今天被判九年有期徒刑，参与拐卖小花梅的多人被判了八到十三年不等的刑期，这就是互联网民呼吁的结果。 ,负向,0.0025,0.9975
铁链女被父母卖过，这和彩礼有什么区别呢？区别是彩礼没有中间商，拐卖有中间商。 ,负向,0.0173,0.9827
那些一口一个铁链女的有一个算一个都不是好东西，完全不尊重当事人，人家没有名字？媒体没说过她叫小花梅吗？她们只想给她绑上一个标签便于自己获取流量，而不顾对受害人的二次伤害。 ,负向,0.0,1.0
还是要谢谢抖音 铁链女的事是抖音爆出来 谢谢抖音 ,正向,0.9518,0.0482
如果徐州铁链女这个案子就此坐实的话，这个检察院这个法院会被学界笑话一辈子。学界之前讨论的那么热闹，车浩和罗翔讨论的那么激烈，实务界仍然这么搞出来，真的就上帝的归上帝，凯撒的归凯撒嘛？大家怎么看这个案子？ ,负向,0.0003,0.9997
徐州铁链女案判决时间点卡的真不错，物尽其用 ,正向,0.9658,0.0342
徐州铁链女”事件终于宣判，董志民数罪并罚，有期徒刑9年。  迟到的正义还是正义吗？不一定完全是。有时候正义具有时效时效性，迟到的正义是对法律法规嘲弄，甚至是对犯罪的鼓励。 ,负向,0.0479,0.9521
笑的，看到一些说“帮助铁链女就是帮助自己”，曾经我也是这么觉得的，直到你们用“祝你是铁链女”骂别的女性，假惺惺啊 ,负向,0.0195,0.9805
胡锡进一口一个“父亲，母亲”对徐州丰县铁链女事件进行评价。 ,负向,0.0248,0.9752
丰县铁链女事件，让董某港出来说她的近况，没有力，如果她能自己出来说话，才有说服力。董志民判了，人贩子也判了。人们担心的是后半生她怎么过。 ,负向,0.0003,0.9997
我想，当初撰写文章、大量转发说铁链女不是小花梅的媒体人、法律人应该适当的向公众道个歉了。尤其几个“始作俑者”，获得了切实的名利，当初以“铁链女不是小花梅”的结论而成为了所谓的英雄，那么是不是应该勇敢承认错误呢？ ,负向,0.0005,0.9995
负责给江苏丰县铁链女做DNA的关系链 ,正向,0.8227,0.1773
因为铁链女，我现在看牛郎织女都觉得细思极恐。。。 ,负向,0.1177,0.8823
铁链女后续的生活保障有相关措施吗？她已经没有劳动能力了 ,负向,0.0411,0.9589
好消息，好消息，小花梅结果出来。主犯判了9年多。她本人也得到精神病院的治疗。  本以为铁链女的事就只是一波热度，但它终于迎来了结局，小花梅离开了地狱，恶人得到了惩罚。愿她能好起来，永远自由，永远自由  哎嘿，这次支持一波官方 ,正向,0.9966,0.0034
去年讨论和转发铁链女事件内容，被禁言30天。看看今年再转发会不会禁言。『“丰县生育八孩女子”事件相关案件一审及后续情况六问』 ,负向,0.0021,0.9979
铁链女案子判决了，至少比没有消息的好。老板不在律所，所以我们四点半自动下班啦，哈哈哈，太爽了 理想中的悠闲职业，浇浇花，太喜欢云南的蓝天了 ,正向,0.9937,0.0063
参考疯县铁链女 ,正向,0.6513,0.3487
⛓️锁链女我们没有忘记你 ,正向,0.8819,0.1181
如果“铁链女”仍然无法与外界联系，那审判罪犯的意义在哪里？ ,负向,0.0041,0.9959
徐州丰县八孩“铁链女”事件终于尘埃落定。事实证明，民意汹汹，可疏不可堵，这次事件我从头到尾关注，亲眼见证了它是如何在无数网民的敦促中一步步走到现在。从第一份发布完全笃定没有买卖，徐州先后四次发布官方通告，口径从“不存在、没这事”，到三人被拘，再到如今一审宣判，这期间是网友们铺天盖地的质疑和上级部门努力调查共同推动着事情向前发展。这次网友们的不依不饶，我认为是件好事。群众的关切和舆论的压力，应当成为对调查工作和地方政府的一种鞭策和激励，开正道才能堵邪门，只要查清真相，才能真正平息舆论。在日常工作中，既要倾听民众的声音，又要超越民众的偏见。但不要隐瞒，枉顾事实，大用春秋笔法和障眼法只会是欲盖弥彰，越描越黑。,负向,0.0104,0.9896
徐州丰县那个案子是不是判轻了？ ,负向,0.0671,0.9329
铁链女的事件不应该是一个个案的审判，应该为此做出法律条款的调整，毕竟我们不是海洋法系，个案依旧是个案。 ,负向,0.0016,0.9984
每次看到铁链女说这个世界不要我了就特别痛苦，好龌龊的时代，她痛苦的前半生和无望的后半生，这片土地上只需要区区九年的代价就可以完全摧毁一名女性的身体和精神，特别恶心。所有的幸福都在刺痛她。我活得比她好不过是运气比她好罢了，所幸长到二十来岁并未遭遇拐卖或其他性别犯罪，我觉得汗颜，我深感羞愧，我胜于她的幸福都是可耻的。,负向,0.002,0.998
"支持对董志民的判决，那几名参与拐卖“铁链女”的人坐牢更是司法正义的应有题中之义。这次判决无异于一次庄 @新浪新闻 支持对董志民的判决，那几名参与拐卖“铁链女”的人坐牢更是司法正义的应有题中之义。这次判决无异于一次庄严宣示：以拐卖妇女方式组成家庭，在我们社会里是绝对不允许的。 
同时希望丰县地方政府切实妥善安排好“铁链女”和董志民几个未成年子女的养育。母亲患有精神疾病，现在父亲又坐牢，这几个孩子 ​ ",正向,0.7894,0.2106
4男一女结伴跳崖，铁链女惨剧，，，这这两天心里都不好了，这么惨绝人寰的事，连着爆出，可以滴。 ,负向,0.1097,0.8903
海马星球：对铁链女感到震动是因为大家还有一种幻觉，虽然我是在高风险社会，但如果我努力把社会阶层往上拔一拔，那我能够更安全，然后铁链女及其引发的一系列对失踪女性的追溯，让大家打破了这个幻觉，就是无论你多努力去爬这个社会阶层，做为一个女性都有可能是不安全的。 ,负向,0.3622,0.6378
铁链女能正常说话、表达，她现在人在哪里？为什么不让她指证、陈述？@AHTV尹钰 ,负向,0.0018,0.9982
好多还在喊铁链女，八孩。可是她有名字啊，小花梅多好听的名字，还要听她儿说她现在好多了能对话认人了，她儿没有欺压她嘛… ,正向,0.6788,0.3212
不要再动不动提“铁链女”她有自己的名字。她叫小花梅   ,负向,0.0121,0.9879
丰县“八孩铁链女”案不管怎么总算是判了，推迟的原因可以归结于疫情影响。但只是探访铁链女的女孩也应该放出来了吧？ ,负向,0.0116,0.9884
丰县铁链女事件，以法律惩罚恶人结束。 ,负向,0.001,0.999
『严惩罪犯之余，勿忘给“铁链女”更多关爱』 ,正向,0.9819,0.0181
与其胡思乱想自己吓自己，不如打电话给主办学校，得到肯定回复那就放心去这年头坏人太多了经济下行坏人也就没底线了，凡事小心，三年胆子变小了很多，尤其今天铁链女案子判了，虽然国内治安好，但也得谨慎 ,负向,0.003,0.997
万一女警察被传播了私密照怎么办?表以为铁链女事件不会发生在警察身上 ,负向,0.0004,0.9996
有的大v怎么那么恶心人知道为什么现在大家都说铁链女吗，是因为当时通报的时候在那里说受害者是八孩妈，那时候你在哪里如果说称小花梅是铁链女是吃人血馒头，那对别人受的伤害只字不提要怎么说受害者是因为生了八个孩子才被关注的吗，她是因为处于被铁链锁着＋精神失常并且生了八个孩子且那些孩子出生时期都处于计划生育的年代而且董某还被当地认定贫困典型才被关注的，好几个离谱都凑一起了，报道的官方就拎出来一个八孩妈来当标题，怎么着你还想说多子多福？我看也是丧尽天良了。,负向,0.0001,0.9999
丰县铁链女事件相关案件一审宣判！相关罪犯被绳之以法（如图）！我仍然说迟到的正义也是正义。 ,负向,0.028,0.972
分享财新法律特稿 ： 丰县“铁链女”事件发生以来，对收买被拐卖的妇女、儿童罪是否应该提高量刑引起全社会持续讨论：「目前《刑法》对相关法益的保护是否适当？」「如果提高量刑，会产生怎样的效果？」 “无论是维持还是提高，都关乎人的尊严。” ,负向,0.0043,0.9957
今天问了两个三十来岁的公司职员，他们不知道丰县铁链女那挡子事。 ,负向,0.0137,0.9863
江苏铁链女案沉冤得雪！拐卖者被判8至13年，网友：太迟了太轻了#铁链女#  ,负向,0.0274,0.9726
生八个孩子的时间都不止9年 就因为长期行暴就算婚姻关系 ,正向,0.8424,0.1576
到处刷“是小花梅不是铁链女”的人跟到处纠正要说“端午安康”的人都如出一辙的烦。 ,负向,0.0076,0.9924
花一些钱从贩子手上买一个女大学生，用铁链锁住她的脖子，拔光她的牙齿以便她在受到侵害时不能用牙齿反抗，强暴地和她发生性关系然后每年怀胎十月生下一个孩子，年复一年，此等非人行径只需要在一个比自己家还整洁的地方住上九年。太美了太伟大了我的国 ,正向,0.9998,0.0002
我记得之前关注了一个博主去云南采访了小花梅舅舅还是哪个亲戚，人说铁链女照片不是小花梅，有视频还是音频记录还发上网了一阵，后来就炸号了 ,负向,0.2647,0.7353
董志民等人被判了刑，但是并未能减轻铁链女所带来的心灵伤痛。 ,负向,0.1205,0.8795
呵呵，铁链女是小花梅？？！！还是因为这样对别人比较好？  ,负向,0.0181,0.9819
结婚证怎么办的？是否有保护伞？当地是否还有类似“铁链女”现象？ ,负向,0.0128,0.9872
记得当初爆出来铁链女新闻的时候，还有一个更可怜的趴在地上的女人 不知道后续如何 ,负向,0.0459,0.9541
原来这个案子现在被社会简称为八孩案了，刚看到的时候以为是那个地方的另一件案子，没想到就是铁链女 ,负向,0.1013,0.8987
丰县铁链女的事终于有结果了，但是也才判这些年，就该死刑 ,负向,0.3363,0.6637
再管小花梅叫铁链女的人，你们全丝了麻辣隔壁 ,负向,0.0057,0.9943
铁链女，你还好吗？ 总记得，你说的那句“莫摆了”的土话，不知道有没有一个公道，还给你。。。 ,负向,0.0037,0.9963
现在铁链女还在医院治疗，如果有一天她能出院了，她能去哪呢？娘家亲戚会收留照顾她吗？现在是她儿子帮照顾，离开医院后他还会好好待她吗？ ,负向,0.4092,0.5908
铁链女被拐卖、被拘禁、被伤害、被怀孕生育都不止9年吧？ ,负向,0.0049,0.9951
大案——“八孩铁链女”有了一审判决“认定董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年。认定被告人时立忠、桑合妞、谭爱庆、霍永渠、霍福得犯拐卖妇女罪，分别判处有期徒刑十一年、十年、十三年、八年六个月和八年，并处罚金。”在此同时感谢首个敢于报道的——良心记者赵兰健！！无他无此判决,正向,0.8849,0.1151
直到现在都只敢叫八孩案不敢直面铁链女 ,负向,0.0028,0.9972
【铁链女“丈夫”一审被判九年，知名律师追问：为何没有强奸罪？】备受关注的“铁链女事件”一审宣判，徐州市中级人民法院认定董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年。对此判决，第九届、十届、十一届全国人大代表，黑龙江省齐齐哈尔市夙生律师事务所主任@迟夙生律师 提出追问：董志民为什么没定强奸犯罪？有通知被害人或者被害人代理人出庭参加追诉吗？多名受访律师也都表达了上述观点，认为一审判决漏掉了“强奸罪”这个最应该认定的罪名。,负向,0.0128,0.9872
小花梅最好的青春留在了大山里，几十年的折磨只换回了施暴者九年牢狱之灾，不愧是你啊jz ,正向,0.9997,0.0003
1、长达数年时间，媒体记者不去报道案发后的经过，相关部门对消息予以封锁，实在罕见。有何面目每月从国库领工资？2、小花梅被卖给董某父子，似未查清楚；3、当地主管部门存在渎职失职问题，为何不一并查清楚来？4、当年，江苏的头儿是谁？#铁链女# 『“丰县生育八孩女子”事件相关案件一审公开宣判』,负向,0.0001,0.9999
拐卖人口之所以屡禁不止就是因为代价太低了吧，九年。。。 铁链女被管了多少年 在神智不清的情况下生了多少个孩子 ,负向,0.0079,0.9921
拐卖人口之所以屡禁不止就是因为代价太低了吧，九年。。。 铁链女被管了多少年 在神智不清的情况下生了多少个孩子 ,负向,0.0079,0.9921
X不足惜，可惜不能以牙还牙让那些人也遭一下铁链女的苦难 ,负向,0.1681,0.8319
这是不是之前那个铁链女？ ,负向,0.0042,0.9958
通告还没出来之前的一年多时间里，有人怀念小花梅都会被人抨击：已经出结果了！是你不关注！你是不是在挑起对立！却根本没人知道小花梅是否安好，董畜定罪几何。还有人造谣“铁链女”一事根本不存在，是境外势力别有异心。现在一审宣判了，董畜仅定罪九年，甚至可笑的家庭关系都没有解除。他们又来捂嘴，一群让法治成为笑话的人振声高呼：你们不懂法理！时隔一年，只想再问：小花梅是否安好？同村被困的女子钟某仙，是否安好？,负向,0.0003,0.9997
铁链女 ,正向,0.9474,0.0526
徐州丰县小花梅案件终于宣判了  ,正向,0.8399,0.1601
八孩你大爷！是铁链女！！！！！ ,负向,0.0033,0.9967
不要用家庭成员和小花梅画等号，也不要叫她铁链女，建议所有子女随母姓，小花梅自主选择孩子去向，孩子们没有赡养那个男人的义务！他失去的只是9年，小花梅被毁了一辈子。拐卖妇女人口下地狱！下地狱！下地狱！ ,负向,0.0005,0.9995
普通人的一生，最终不过是隐入尘烟罢了，铁链女还算幸运的，因为她至少被全国人民看到，被惦记，所以才有了今天迟到的“正义”，而不被看到的那些人又会怎样？拐卖妇女儿童的处罚力度真的有点太轻了，法律需要与时俱进需要完善，如果声音能被听见谁也不想呐喊 ,负向,0.0425,0.9575
丰县铁链女二十多年生了八个孩子并且得了精神病，董志民就被判九年，没什么想说的，就觉得可笑 ,负向,0.0011,0.9989
这几天重要案件都扎堆了，铁链女案宣判了，孙卓被拐案也开庭了，现在只希望谋杀儿女那个男的能死立执。 ,负向,0.0011,0.9989
希望不要再叫她“铁链女”，不要揭开她的伤疤。希望社会和妇联可以持续关注她的精神状态和生活状态，虽然像正常人一样生活有点难，但是请让她好好生活吧。 ,负向,0.1111,0.8889
玩微博几年了，因为铁链女被禁言了三次，想想还真是可笑！ ,负向,0.02,0.98
经人提醒才发现，话题居然用的是八孩，连铁链女都不敢说吗 ,负向,0.0004,0.9996
徐州铁链女 ,正向,0.9478,0.0522
他们被关9年出来孩子还赡养 铁链女：这世界不要我了 买卖同罪，重罚之下必有畏者 ,负向,0.02,0.98
9年。 铁链女被关的时间都不止9年。不想判就别判了。看把老爷们委屈的 ,负向,0.0377,0.9623
上周出差路过徐州心里想的一直就是铁链女，这次徐州人民法院的措辞让我更加给徐州“买卖妇女儿童”的标签铁上钉钉了。 ,负向,0.1229,0.8771
不要称她是八孩女，  因为她是铁链女。 ,负向,0.0262,0.9738
说句我个人看法吧    刷到好几个“她有名字 不叫铁链女” 我不理解你这句话的初衷是什么   我觉得这不是重点  而且她真正的连名带姓你知道吗？重点应该是她现状如何  而不是你在这追究这些  我不觉得叫她铁链女是不尊重这个女人   她是被铁链束缚   但是这三个字并不能束缚什么  要知道解决事情的重点到底是什么    能否卸下她身上的铁链才是最重要的,负向,0.0002,0.9998
好离谱…2023还有这样的事…铁链女要怎么才能讨回公道啊，才判了九年，可她在那个砖瓦房被关了多少年呢…还生了八个孩子……无语 ,负向,0.0,1.0
没想到有生之年还能看到铁链女的后续。光看文字都觉得痛的不行，这几年她上怎么度过的啊 ,负向,0.1903,0.8097
可是还有多少个铁链女和大山来的女教师没被发现呢？ ,负向,0.2857,0.7143
从张继科到铁链女 冥王水瓶的关键词是：清算 要把冥王摩羯里一切侥幸逃脱的罪恶一一披露 这样的清算，在今年冥王星前后碾压的过程中会越演越盛，以便明年冥王星彻底进入水瓶时，给时代迎来一个公平干净透明的新纪元。 ,正向,0.9941,0.0059
男大v，看了丰县判决一边自己飞速哔哔了一篇雄文，一边说判了之后可不能再提铁链女了，就差说一句“你们女的可别哔哔啦” 病得不轻 ,负向,0.0004,0.9996
还行吧。。那个去救就铁链女的两个姑娘最后怎么样了？好像很久没消息了，以及铁链女和同村被拐卖的女人是如果救援的？ ,负向,0.4034,0.5966
我要停止刷微博一段时间，我怕控制不住愤怒和谩骂，对于铁链女事件罪犯的审判，真是跌破生物底线的不公平。让人感到极其的恶心。正义没有迟到，它根本不会到来。 ,负向,0.0,1.0
终于等到铁链女案的判决了，总算坏人被惩罚了。只是看着这失衡的性别比，对未来的女性安全仍充满忧虑与不安，希望所有的女孩子们都能平安的走完一生。🙏 ,正向,0.8827,0.1173
抖音还有人用“铁链女”这个词来骂女性，这种人都该似一似 ,负向,0.0006,0.9994
生八个孩子，都不止9年吧?铁链女被锁了多少年?25年！哈哈哈哈哈还是人太多了，还是不够着急 ,中性,0.5148,0.4852
铁链女得以伸冤  ,正向,0.629,0.371
你说她有名字叫“小花梅” 不要再叫铁链女了 我真觉得好笑 指鹿为🐴这出戏你是不是没看啊？？ ,负向,0.0011,0.9989
她叫小花梅，不叫铁链女 ,负向,0.4417,0.5583
我们更关心小花梅 ,正向,0.9891,0.0109
正义不会缺席！但对铁链女的伤害却是不可逆的，希望更多的黑暗与不公被曝光，弱者能得到应有的帮助。 ,负向,0.2629,0.7371
感觉判的有点轻了，最高的才13年，但对于铁链女的伤害却是一辈子… ,负向,0.0945,0.9055
，，，，，为什么是八孩而不是铁链女，，，， ,负向,0.0026,0.9974
支持徐州市人民法院的审判，贩卖妇女的人贩子终于得到了惩罚，“铁链女”终于被解救出来。天网恢恢，疏而不漏，恶人终于得到了法律的严惩。法律虽然姗姗来迟，但正义得到了伸张。 ,正向,0.5755,0.4245
曾经引起巨大社会舆论的“铁链女事件”终于有了结果   社会的人性之恶让很多人心有余悸 ，特别是妇女等弱势群体，我们看似一切井然的社会在道德以及法治下，还存在巨多的黑暗漩涡，一不小心就会被卷入，却无能为力。 ,负向,0.0011,0.9989
铁链女不是小花梅 . ,负向,0.1516,0.8484
铁链女是个什么东西，她没有姓名吗 ,负向,0.0117,0.9883
央视牛逼。徐州铁链女一审判决结果的那条微博底下9千多条评论只能精选出三条能显示出来的 ,负向,0.0623,0.9377
坏人应该受到惩罚，请关注铁链女今后的生活。 ,负向,0.37,0.63
铁链女事件，法律判决没有问题，只是那8个孩子变成了孤儿，在这个社会孤儿会过着怎么样的生活，大家也知道，希望当地好好帮忙扶养这群可怜的孩子和可怜的铁链女，有时候真希望郭嘉多专注精神病患者，有的精神病患者放出来就是重庆观音桥的悲剧 ,负向,0.0168,0.9832
之前还洗白说这不是拐卖，现在好了是拐卖妇女，判9年？这女的被铁链拴了都不止9年，妇女的命就这么草率吗？被拐卖前还是个姑娘，拐卖以后被铁链拴，被当狗养，生了8个孩子，真有你的！！！生气生气😤 ,负向,0.0,1.0
今天徐州“铁链女”事件，徐州中院公开宣判，董志民犯虐待罪拘禁罪，数罪并罚，判处有期徒刑9年。 ,负向,0.1173,0.8827
看铁链女的生活环境和遭遇，对这种人渣来说有干净的住所还能按时吃上三餐，坐牢基本等于享福吧。 ,负向,0.0049,0.9951
铁链女的后续安置问题呢……找到她的家人了吗……很想知道…… ,中性,0.5263,0.4737
铁链女的后续安置问题呢……找到她的家人了吗……很想知道…… ,中性,0.5263,0.4737
"无论什么时候看到丰县铁链女说的那句""这个世界不要我了""都会掉眼泪 ",正向,0.754,0.246
铁链女案，终于宣判。 ,中性,0.4868,0.5132
铁链女的案子，处理了一半！ ,负向,0.044,0.956
      丰县铁链女案一审宣判，被告人董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年。      一般来说，刑事案件一审一般由基层法院审理，只有危害国家安全、恐怖活动案件，或者可能判处无期或者死刑的案件才能中院一审。重大、复杂、新型疑难案件，基层法院可以请求中院审理。      徐州中院进行一审，确实很重视啊，管辖依据大概率是基于社会重大社会影响，继续基层法院审理恐怕难以服众。毕竟前期丰县政府部门的回应激起舆论的极大反弹。,负向,0.0281,0.9719
我咋记得，当时官方通报说铁链女是谣言？合着……唉，不敢说了 ,负向,0.0029,0.9971
徐州铁链女出结果了 大快人心 以儆效尤！ ,负向,0.1967,0.8033
呵呵呵，今天的孙卓案量刑五年，这个铁链女9年，都不知道该吐槽什么了，无力感…… ,负向,0.0492,0.9508
请告诉我铁链女现在的生活如何，这些人进🍊我毫不意外 ,负向,0.1891,0.8109
买卖同罪了吗？现在铁链女怎样了？那时去探访的女孩子有消息了吗？ ,负向,0.0009,0.9991
徐州铁链女事件宣判了 ,负向,0.0233,0.9767
徐州铁链女案有结果了 ,负向,0.1006,0.8994
我只想知道她的情况，她人怎么样了？一个大活人，为什么无缘无故没有一点消息了！ ,负向,0.0004,0.9996
丰县铁链女是当今社会的一道伤疤………… ,负向,0.3984,0.6016
铁链拴人家女大学生当性奴20年，才关禁闭9年，法律真牛啊 ,负向,0.0382,0.9618
判了 ,负向,0.0069,0.9931
有没有资质派遣？不去审查。有没有资格替交？不去调查。还没出生就能替别人干活？这是不是人贩子逻辑？铁链女的悲哀在重演，烧烤事件的恐怖在上演，，纳税阶级被食税阶级蚕食的阶级斗争在续演。。@平安中原 @清风中原 @紫光阁 @联合国安全理事会 @联合国环境规划署 @联合国新闻中心,负向,0.0,1.0
在铁链女村，你说的成功和失败，和村长说的成功与失败，根本不是一个东西。 ,负向,0.001,0.999
听到不好的新闻，也会想着，那她呢？还好吗？ ,负向,0.0088,0.9912
搜#铁链女#——无语。 ,负向,0.0036,0.9964
有些时候看到一些男的气急败坏的样子真的觉得很好笑 “要是我当了hr绝对不招女的” “女人就该被铁链拴起来” 不好意思，我不但不会被拴起来，我还是本硕985，我还可以自我决定生不生娃，我还有非常好的工作，我还要继续往上爬，搞研究，当局长，你说气不气 最喜欢你看不惯我又比我弱的样子 ,正向,0.6356,0.3644
其实这里遍地都是铁链女，只是套在脖子上的链子不一样而已。 ,负向,0.3688,0.6312
我说有些人差不多得了，骂个纸片人还被你们上升到侮辱真正的女性了骂真正的女性被铁链锁。今天真是见识到有些女配粉的嘴脸了到底谁脑子有病真的厌女啊。有没有可能大部分骂的是路人盘啊。还说为什么不骂青山老贼的，有没有可能他一直在被骂。难不成我骂安陵容和知画的时候就只能骂作者不能骂角色了。,负向,0.0001,0.9999
减重铁链女骂纸片人小三真是天大的笑话 ,负向,0.0044,0.9956
你与其转发徐州铁链女的骂那老出生不如想想怎样才能帮助那位大姐走出心理阴影 ,负向,0.0015,0.9985
能看出来，把这些根本无法联系且它自己也不理解的词凑在一起已经耗尽它仅剩的大脑了。女权要都是这个水平，地下室的铁链就是女权们唯一归宿，放出来纯属恶心人。 ,负向,0.0,1.0
二刷听到铁链女还是会难过 ,负向,0.0274,0.9726
听到柏浪涛讲铁链女事件 顿时泪目 突然想起 眼前平淡文字的背后是无数沉重的故事 ,中性,0.4541,0.5459
看了五章有点若智遂弃文。女主原世界丧尸末日，重生后和原主交易答应替她照顾男主。槽点在于，女主原本身强体壮但现在穿越了啊，原主身体没说会武功或是身体素质特别好，她用这副身体直接徒手扯断铁链，跑步比男的都快，还能1v4个男护卫，我请问。而且女主并没有演戏的意思，但她自以为演的很好，我……男主一家人死的也很莫名其妙而且笔力不足，能感觉到是想写出很悲伤的氛围，但我真的没办法共情。文案没说男主是被诬陷的，导致我以为他真的造反了，还想着真勇啊总算有真反的男主了，结果还是个假的。而且有些地方我不太理解，原主让女主好好照顾男主，但男主那边却说原主一直想杀他？所以原主到底是保护他还是要害他啊我真的很迷茫。想杀的话这不是好机会吗，而且自己都死了干嘛还委托女主照顾他，拜托女主杀他不是更好。但想护他，男主又为什么说原主三番五次要杀他。就很迷。虽然只看了五章但也想说都五章了我连你到底啥情况都不清楚，真的很迷。,负向,0.0036,0.9964
德国没保安，处理事的全都是警察。楼下伙计是中东人，危险分子。今天家周围的车棚里扔出来好多不骑的自行车。像我舍友这样的人也就逼逼赖赖和我骂了好久，丢了也不能给我扔地上。楼下伙计直接报了警，来了两辆警车，四五个警察，他拿着车锁的大铁链狂甩，在楼下破口大骂，女警察差点都要掏枪了。最后以一顿安慰，摆好了自行车收场。印象我住的这里已经出了好几回警车了，怀疑都是这位危险分子因为屁大点事报警。前几天他骑车他的自行车，一条腿缠着纱布，一只手拎着棒球棍，就像打架胜利归来一样，实属恐怖,负向,0.0004,0.9996
"认了吧，在gm那里，不同人不同命，他们一派的，就查一查救一救，或者装聋作哑，张继科是，大奔女是，许州女也是。和他们无关的，甚至是本身帮凶的，也可以装聋作哑，又或者为流量落井下石，铁链女是，刘学州是,张折汉也是。（都怕又因为攻击gm被禁言，就会这一招，和沈逸这个小人一样！）",负向,0.008,0.9919
景甜是不是也是铁链女？ ,负向,0.0108,0.9892
求一部电影，好像是港片 女主被铁链缠住脖子，也好像是铁链，然后强吻女主，大概是这样 ,负向,0.3997,0.6003
铁链女的起居移交给谁啊 ,负向,0.0554,0.9446
铁链女是哪的人，她回家了吗 ,负向,0.1974,0.8026
那个商业林啊还是治沙林啊的事到现在还没完没了了是吧？各种这个反转那个反转，各种村民啊，矿啊，直播截图啊说实话，都是一滑而过当地所有报道里没看到一个女人从头到尾都是男人在出镜出镜就出镜吧丑老脏他说什么我都不会听的消耗我的情绪，这么丑老脏不配！我连铁链女都救不了还能帮他？再说了，一个男的有什么好棒的？我这样的普通女人还是心疼自己就可以了,负向,0.0002,0.9998
看到李亚玲发的那个道歉，有点想笑 也学到了法。 清楚记得当初因为那件事关注的她。 但因为铁链女的事，我讨厌她！ 一码归一码 哦，是微博动态推荐看到的。 因为铁链女铁笼女，她拉黑了我 ND （这不是粗话吧，没有侵犯到别人吧） 拉黑，不重要 对人不感兴趣 只对事件关注 ,负向,0.0005,0.9995
那个编剧李亚玲，是不是在铁链女的时候跳出来说她有不能具名的内部消息，帮助解释由来。然后这事也没有下文了，这么久了，还有人关注就来铁链女怎样了吗？ ,负向,0.0018,0.9982
烟突然就少了 爸爸说他要去买烟 女性要成为女的 就必定被肮脏充斥 凝视是虚空的笼罩 是铁链 ,负向,0.001,0.999
之前铁链女那件事的时候，也有一个男生因为那件事删了我的微信。他是我初中关系最好的男性同学。失去这些朋友我不后悔，但有时候真的感觉和平年代的女性生活的所谓和平环境也都只是肥皂泡而已…… ,负向,0.075,0.925
媒体和营销号算个什么东西，要他们为铁链女主持公道的时候，报道被拐妇女的时候，他们在哪了？虚伪！ ,负向,0.0004,0.9996
我记得这不是当初洗地铁链女和支持吴某凡的某个吗，铁链女事件那个犯罪男被洗白多少有她一份功劳 ,负向,0.002,0.998
能不能报道点实事啊。天天看娱乐圈这一亩三分地 这种报道好无聊。。铁链女的后续呢？怎么不报道 ,负向,0.0007,0.9993
想起了铁链女，想起了乌衣 ,正向,0.9345,0.0655
寻找新华社李双龙，当时在媒体人群里，李双龙言之凿凿说手里有铁证，证明铁链女不是小花梅，他说有内线，那么这个事情过去一年多了，李双龙为什么不把证据拿出来，推翻国家的调查报告，青史留名，这样的机会可是一个媒体人千古难逢的。所以，请媒体朋友证实一下：新华社有没有李双龙。如果有，请转告他老人家，赶紧公布手里的证据。,负向,0.0015,0.9984
